timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
118,-1.7559e-37,-0.0795182,0.0190194,9.67641,0.291477,-0.378783,6.0415,3.90771,-0.531006
119,-1.75683e-37,-0.0698618,0.0247989,9.66533,0.273675,-0.355602,-6.50586,3.91504,-0.531494
120,-1.75777e-37,-0.072995,0.0252426,9.67085,0.380102,-0.316822,-4.0647,3.9021,-0.528564
121,-1.7587e-37,-0.0508782,0.0162656,9.63231,0.278644,-0.334317,3.14795,3.91431,-0.533203
122,-1.75964e-37,-0.0519225,0.0206002,9.67624,0.238866,-0.385289,-4.5874,3.90063,-0.529053
123,-1.76057e-37,-0.0661781,0.0409214,9.63594,0.327465,-0.405115,-4.45142,3.90845,-0.536133
124,-1.7615e-37,-0.0710637,0.021416,9.65991,0.257,-0.427758,2.36401,3.91211,-0.531494
125,-1.76244e-37,-0.0649335,0.0163228,9.67089,0.334432,-0.36549,-0.321777,3.91943,-0.529297
126,-1.76337e-37,-0.0771863,0.0369444,9.65987,0.260945,-0.284907,-5.09766,3.92114,-0.531494
127,-1.76431e-37,-0.0715785,0.0115447,9.64169,0.395036,-0.318359,3.57129,3.91138,-0.528564
128,-1.76524e-37,-0.0818357,0.0269877,9.66913,0.394728,-0.346484,-4.37598,3.89966,-0.531494
129,-1.76618e-37,-0.0612355,0.0273811,9.66351,0.452591,-0.259498,-7.49829,3.91187,-0.528076
130,-1.76711e-37,-0.0846682,0.0172598,9.67657,0.368499,-0.367615,5.74072,3.90552,-0.531006
131,-1.76804e-37,-0.0752264,-0.000708131,9.65831,0.35103,-0.334343,7.85767,3.92261,-0.531006
132,-1.76898e-37,-0.0781448,0.0437682,9.65805,0.423211,-0.323047,-2.37231,3.9231,-0.530762
133,-1.76991e-37,-0.0633315,0.0367087,9.62137,0.257666,-0.291413,-4.67822,3.92114,-0.532227
134,-1.77085e-37,-0.0772152,0.0356787,9.6746,0.278542,-0.368768,-6.66187,3.91382,-0.527344
135,-1.77178e-37,-0.0566434,0.0358572,9.66164,0.450337,-0.479114,-0.262451,3.91431,-0.534424
136,-1.77271e-37,-0.0703697,0.0277459,9.70574,0.329284,-0.42617,-4.93555,3.91748,-0.531494
137,-1.77365e-37,-0.0463361,0.011323,9.66908,0.464322,-0.233192,7.18335,3.91699,-0.529297
138,-1.77458e-37,-0.0645403,0.0191626,9.6307,0.426259,-0.367436,5.448,3.92017,-0.534912
139,-1.77552e-37,-0.0728231,0.0292623,9.67282,0.39898,-0.231117,2.03149,3.92529,-0.529053
140,-1.77645e-37,-0.0708134,0.0260294,9.65452,0.334304,-0.310086,6.09424,3.90747,-0.531006
141,-1.77739e-37,-0.0792607,0.02864,9.68936,0.352106,-0.339722,4.17017,3.90308,-0.526855
142,-1.77832e-37,-0.0604847,0.0162658,9.70031,0.249803,-0.224073,-2.63501,3.92334,-0.528564
143,-1.77925e-37,-0.067859,0.027238,9.63987,0.482483,-0.285445,4.70386,3.92749,-0.528076
