timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
116,-4.75084e-38,-0.33616,-0.0932306,9.8924,2.90061,0.533237,7.31738,3.99683,-0.587402
117,-4.75551e-38,-0.332562,-0.12181,9.89596,2.77607,0.496455,-5.10815,3.99146,-0.587402
118,-4.76018e-38,-0.342011,-0.11107,9.87724,2.84858,0.416513,5.75098,3.99146,-0.590576
119,-4.76485e-38,-0.34317,-0.121061,9.88715,2.87435,0.392205,-3.06274,3.99219,-0.585693
120,-4.76952e-38,-0.354692,-0.121648,9.85986,2.8732,0.445662,-5.63745,3.99536,-0.592773
121,-4.77419e-38,-0.359109,-0.114668,9.87438,2.83972,0.490922,-6.42285,3.9939,-0.585693
122,-4.77886e-38,-0.350432,-0.105595,9.8687,2.82594,0.444919,1.1853,3.99365,-0.585693
123,-4.78353e-38,-0.335895,-0.133953,9.88892,2.86083,0.479575,-0.600342,3.99438,-0.587402
124,-4.7882e-38,-0.346794,-0.11012,9.87314,2.87668,0.466922,5.69116,3.99731,-0.584229
125,-4.79287e-38,-0.380422,-0.102806,9.87458,2.83191,0.518765,-5.69043,3.99561,-0.590576
126,-4.79754e-38,-0.366582,-0.0964385,9.88927,2.79487,0.447045,0.922119,3.99365,-0.584717
127,-4.80221e-38,-0.358373,-0.110695,9.86285,2.88122,0.345638,-0.0266113,3.99731,-0.588867
128,-4.80689e-38,-0.36506,-0.119287,9.89105,2.80783,0.259472,-0.286133,3.99487,-0.586426
129,-4.81156e-38,-0.337484,-0.0977793,9.89216,2.87627,0.419075,4.69751,3.99512,-0.588379
130,-4.81623e-38,-0.355736,-0.1307,9.87213,2.77961,0.418588,-4.43042,3.99438,-0.590088
131,-4.8209e-38,-0.31377,-0.122788,9.83743,2.87919,0.467613,0.661377,3.99268,-0.585205
132,-4.82557e-38,-0.331432,-0.114189,9.90311,2.78457,0.405832,1.65747,3.99316,-0.590088
133,-4.83024e-38,-0.341216,-0.121132,9.86701,2.89405,0.41221,7.52734,3.99683,-0.585938
134,-4.83491e-38,-0.327255,-0.119159,9.86913,2.95253,0.385699,-0.552246,3.99756,-0.587891
